,cfs,date,Observation,Forecast,station,lat,lon
166,,2020-09-11 04:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
167,,2020-09-11 04:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
168,,2020-09-11 05:00:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
169,,2020-09-11 05:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
170,,2020-09-11 05:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
171,,2020-09-11 05:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
172,,2020-09-11 06:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
173,,2020-09-11 06:15:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
174,,2020-09-11 06:30:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
175,,2020-09-11 06:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
176,,2020-09-11 07:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
177,,2020-09-11 07:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
178,,2020-09-11 07:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
179,,2020-09-11 07:45:00-06:00,355.0,,South Fork Payette at Lowman,44.08242,-115.61313
180,,2020-09-11 08:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
181,,2020-09-11 08:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
182,,2020-09-11 08:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
183,,2020-09-11 08:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
184,,2020-09-11 09:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
185,,2020-09-11 09:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
186,,2020-09-11 09:30:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
187,,2020-09-11 09:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
188,,2020-09-11 10:00:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
189,,2020-09-11 10:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
190,,2020-09-11 10:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
191,,2020-09-11 10:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
192,,2020-09-11 11:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
193,,2020-09-11 11:15:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
194,,2020-09-11 11:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
195,,2020-09-11 11:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
196,,2020-09-11 12:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
197,,2020-09-11 12:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
198,,2020-09-11 12:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
199,,2020-09-11 12:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
200,,2020-09-11 13:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
201,,2020-09-11 13:15:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
202,,2020-09-11 13:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
203,,2020-09-11 13:45:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
204,,2020-09-11 14:00:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
205,,2020-09-11 14:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
206,,2020-09-11 14:30:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
207,,2020-09-11 14:45:00-06:00,361.0,,South Fork Payette at Lowman,44.08242,-115.61313
208,,2020-09-11 15:00:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
209,,2020-09-11 15:15:00-06:00,374.0,,South Fork Payette at Lowman,44.08242,-115.61313
210,,2020-09-11 15:30:00-06:00,367.0,,South Fork Payette at Lowman,44.08242,-115.61313
